,markers,antimarkers,sum
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_36.txt,52,9,43
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_127.txt,51,10,41
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_64.txt,49,9,40
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_14.txt,49,9,40
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_34.txt,52,14,38
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_81.txt,49,11,38
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_69.txt,52,14,38
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_74.txt,51,13,38
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_26.txt,45,8,37
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_116.txt,47,11,36
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_45.txt,48,12,36
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_101.txt,45,9,36
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_106.txt,46,10,36
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_46.txt,45,9,36
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_104.txt,45,9,36
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_105.txt,42,7,35
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_134.txt,52,17,35
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_84.txt,48,13,35
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_126.txt,46,11,35
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_95.txt,45,10,35
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_57.txt,48,14,34
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_121.txt,42,8,34
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_77.txt,40,6,34
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_47.txt,47,13,34
