Source,Target,Weight,Type
wk_aussicht_1981,wk_tadel_1971,11,undirected
wk_aussicht_1981,wk_willkommen_1984,22,undirected
wk_aussicht_1981,wk_zeit_1978,66,undirected
wk_gold_1972,wk_kapitel_1975,55,undirected
wk_gold_1972,wk_tadel_1971,66,undirected
wk_gold_1972,wk_willkommen_1984,24,undirected
wk_kapitel_1975,wk_gold_1972,55,undirected
wk_kapitel_1975,wk_tadel_1971,34,undirected
wk_kapitel_1975,wk_willkommen_1984,54,undirected
wk_kapitel_1975,wk_zeit_1978,6,undirected
wk_tadel_1971,wk_aussicht_1981,11,undirected
wk_tadel_1971,wk_gold_1972,66,undirected
wk_tadel_1971,wk_kapitel_1975,34,undirected
wk_tadel_1971,wk_willkommen_1984,31,undirected
wk_tadel_1971,wk_zeit_1978,5,undirected
wk_willkommen_1984,wk_aussicht_1981,22,undirected
wk_willkommen_1984,wk_gold_1972,24,undirected
wk_willkommen_1984,wk_kapitel_1975,54,undirected
wk_willkommen_1984,wk_tadel_1971,31,undirected
wk_willkommen_1984,wk_zeit_1978,22,undirected
wk_zeit_1978,wk_aussicht_1981,66,undirected
wk_zeit_1978,wk_kapitel_1975,6,undirected
wk_zeit_1978,wk_tadel_1971,5,undirected
wk_zeit_1978,wk_willkommen_1984,22,undirected
