Source,Target,Weight,Type
wk_aussicht_1981,wk_heilewelt_1998,1,undirected
wk_aussicht_1981,wk_willkommen_1984,2,undirected
wk_aussicht_1981,wk_zeit_1978,6,undirected
wk_gold_1972,wk_kapitel_1975,5,undirected
wk_gold_1972,wk_tadel_1971,6,undirected
wk_gold_1972,wk_willkommen_1984,1,undirected
wk_gruesse_2003,wk_heilewelt_1998,5,undirected
wk_gruesse_2003,wk_hundstage_1988,6,undirected
wk_gruesse_2003,wk_markbein_1991,3,undirected
wk_heilewelt_1998,wk_aussicht_1981,1,undirected
wk_heilewelt_1998,wk_gruesse_2003,5,undirected
wk_heilewelt_1998,wk_hundstage_1988,4,undirected
wk_heilewelt_1998,wk_markbein_1991,1,undirected
wk_heilewelt_1998,wk_willkommen_1984,3,undirected
wk_hundstage_1988,wk_gruesse_2003,6,undirected
wk_hundstage_1988,wk_heilewelt_1998,4,undirected
wk_hundstage_1988,wk_markbein_1991,4,undirected
wk_hundstage_1988,wk_willkommen_1984,3,undirected
wk_kapitel_1975,wk_gold_1972,5,undirected
wk_kapitel_1975,wk_tadel_1971,3,undirected
wk_kapitel_1975,wk_willkommen_1984,3,undirected
wk_markbein_1991,wk_gruesse_2003,3,undirected
wk_markbein_1991,wk_heilewelt_1998,1,undirected
wk_markbein_1991,wk_hundstage_1988,4,undirected
wk_tadel_1971,wk_gold_1972,6,undirected
wk_tadel_1971,wk_kapitel_1975,3,undirected
wk_tadel_1971,wk_willkommen_1984,1,undirected
wk_tadel_1971,wk_zeit_1978,1,undirected
wk_willkommen_1984,wk_aussicht_1981,2,undirected
wk_willkommen_1984,wk_gold_1972,1,undirected
wk_willkommen_1984,wk_heilewelt_1998,3,undirected
wk_willkommen_1984,wk_hundstage_1988,3,undirected
wk_willkommen_1984,wk_kapitel_1975,3,undirected
wk_willkommen_1984,wk_tadel_1971,1,undirected
wk_willkommen_1984,wk_zeit_1978,2,undirected
wk_zeit_1978,wk_aussicht_1981,6,undirected
wk_zeit_1978,wk_tadel_1971,1,undirected
wk_zeit_1978,wk_willkommen_1984,2,undirected
