"brief_11" "brief_13" "brief_16" "brief_22" "brief_27" "brief_31" "brief_37" "brief_42" "brief_46" "brief_48" "brief_50" "mutter_1" "mutter_10" "mutter_14" "mutter_18" "mutter_20" "mutter_24" "mutter_26" "mutter_29" "mutter_3" "mutter_34" "mutter_36" "mutter_40" "mutter_44" "mutter_49" "mutter_5" "mutter_52" "mutter_55" "mutter_7" "robert_21" "robert_33" "robert_35" "robert_38" "robert_45" "robert_53" "robert_8" "walter_12" "walter_15" "walter_17" "walter_19" "walter_2" "walter_23" "walter_25" "walter_28" "walter_30" "walter_32" "walter_39" "walter_4" "walter_41" "walter_43" "walter_47" "walter_51" "walter_54" "walter_56" "walter_6" "walter_9"
"brief_11" 0 1.43998986098918 1.50107576328642 1.47372061238823 1.49099275686198 1.62287697099213 1.30871675832551 1.53603392600985 1.49278347598435 1.67628461325967 1.52851840908302 1.57102663886065 1.61873439760993 1.62666759053992 1.62854058164503 1.63617141218308 1.64069988712498 1.91233989550553 1.61420414048493 1.83650979115077 1.64844092243476 1.63655238923999 1.56853141242175 1.66087937911334 1.65768416232289 1.51589193468577 1.65654222759429 1.75988461407021 1.60949336624695 1.65794935606271 1.61324181722296 1.54583641423693 1.63845840579454 1.58832520066287 1.63885943534988 1.539226875798 1.50632206340156 1.4464518563927 1.53167113216142 1.55376489857471 1.43583350677064 1.54899718717807 1.60024085216315 1.44572708772274 1.50017234642573 1.41857117099541 1.56387546663495 1.56120823306224 1.44010085702141 1.55311550095029 1.58725412183266 1.53253776719022 1.60166494795561 1.48977474738935 1.45021725471046 1.56200294787865
"brief_13" 1.43998986098918 0 1.26821225548263 1.41670486332497 1.35446308976021 1.41336137013136 1.26458404823315 1.26969366507907 1.47231043241382 1.46955380963401 1.23619272221469 1.34965207341293 1.5349405401638 1.57686494051279 1.56326041548751 1.50400874971881 1.50756260948017 1.53535657771938 1.4410057593483 1.67210051988607 1.3283809847405 1.4750583765663 1.40546787058227 1.39463679866235 1.4279765301438 1.499208300747 1.47718869886656 1.49025690598244 1.581265400079 1.45762996134509 1.3547896587909 1.45831853707358 1.44915548530044 1.38816190373931 1.48427427829322 1.50541375588677 1.39689817908388 1.38967900182397 1.4260971351682 1.45977413938459 1.39605423369158 1.42940059633675 1.52125836915753 1.3756179954956 1.50678406575609 1.35312635254315 1.4640966078852 1.34242794144236 1.3790766998693 1.51037070665915 1.40301782201041 1.33520880308989 1.42796257028455 1.34351917914388 1.31240106635977 1.45701877163329
"brief_16" 1.50107576328642 1.26821225548263 0 1.25423909763535 1.26411744480805 1.42666815991048 1.33819599514873 1.32350057065477 1.27532745522073 1.31133201430205 1.13681201295945 1.35871715458356 1.32039387912841 1.28403261241019 1.26298695543387 1.22776041333101 1.19722936563236 1.37827127591864 1.37038051582881 1.42679758735055 0.998056726527179 1.20142563224844 1.16811844420863 1.19092274009441 1.17261937837254 1.38308662896101 1.19903968271295 1.28733344338904 1.36269453063751 1.29289527691296 1.39637563478185 1.19017955597419 1.23787878211891 1.18122531894847 1.19229770996116 1.19116360575934 1.26582651748563 1.27526492844953 1.30471645612719 1.20152150067513 1.13621026438936 1.27056310566272 1.44018817794213 1.17425902792989 1.27625017162183 1.19440094259815 1.27522174118424 1.29201734198976 1.21061015900444 1.27873854440764 1.12188190364234 1.21061383213159 1.26107939635972 1.1320008524419 1.18637965559072 1.2500965388205
"brief_22" 1.47372061238823 1.41670486332497 1.25423909763535 0 1.40001995932256 1.19131535992261 1.16555140935387 1.04544419795029 1.18711307539513 1.25113547847597 1.15294044349767 1.27965085330164 1.28524644801728 1.27863715354779 1.23979461061432 1.34049236342751 1.11607742422339 1.4383188340563 1.36556656998546 1.38193754395949 1.17113840987398 1.22201577171506 1.20751222146856 1.28656061888509 1.20393784033382 1.20397391868629 1.22269034228031 1.27246997883584 1.39074075806911 1.1855324513204 1.31741786791722 1.03717669066841 1.18765751888671 1.12547159556903 1.26951434834659 1.09777761010296 1.08958355934906 1.18304869891074 1.10040458425781 1.18586548988919 1.1220525096605 0.997545414943537 1.05635815618725 0.987173755692166 1.17366664509645 1.09692137050841 1.13713032656124 0.990279909870032 1.18856763517709 1.06182602311141 1.03131394348627 1.10317634681647 1.15124150017902 1.12782441000221 1.0229220774082 1.14344608095971
"brief_27" 1.49099275686198 1.35446308976021 1.26411744480805 1.40001995932256 0 1.52180711394067 1.41897239829287 1.28995374419334 1.51480295246735 1.59274282611334 1.41106726877012 1.49901929763614 1.30735101047385 1.31001211714925 1.46129681835335 1.27885870673178 1.35154889082624 1.50882556670235 1.40727384597519 1.56068067185581 1.39830757870856 1.41477628001491 1.25448451668188 1.252107869783 1.21185655731266 1.41474256429918 1.4066278724928 1.54871971303747 1.47668837880482 1.52964260773438 1.47565467405662 1.4167319685508 1.49883480108992 1.36864349872096 1.50407122292261 1.45424732197605 1.31967130714605 1.36800190330836 1.43817734381374 1.45402227514846 1.32753281815884 1.44527767880159 1.36964056415222 1.3922508875389 1.44205824868111 1.38570372512101 1.45602600345315 1.37392306998858 1.36936569535945 1.52625589534822 1.39626580964088 1.376615968818 1.34348421824753 1.42193066507292 1.37532088596733 1.39484951012035
"brief_31" 1.62287697099213 1.41336137013136 1.42666815991048 1.19131535992261 1.52180711394067 0 1.34867585263051 1.19889794525186 1.49111394196129 1.38206896404908 1.22807562184915 1.55351324942293 1.4244942901156 1.43923716926781 1.47488137685397 1.53185186432612 1.35370937287005 1.49343576891706 1.60413779226118 1.44112777294999 1.3886587325048 1.42170873381422 1.34336522652683 1.51746754164785 1.39639207169758 1.45524141043878 1.38229670908256 1.34321711660474 1.50018191170451 1.42436275551066 1.34534115915206 1.35580217338955 1.35489608207301 1.33552982330895 1.49623042125989 1.33471590969227 1.37518542009475 1.36040908826801 1.36746506061254 1.36270923138428 1.31062738872904 1.37489955325037 1.46385901859277 1.26686707441594 1.36166152900043 1.38880670220389 1.43334895048163 1.47635751554233 1.37762376543842 1.42138934994877 1.37135908803978 1.39793171700194 1.39936229227701 1.21577588097564 1.32746409286454 1.36704817635372
"brief_37" 1.30871675832551 1.26458404823315 1.33819599514873 1.16555140935387 1.41897239829287 1.34867585263051 0 1.18982774763818 1.36255420399548 1.31522663721295 1.16715596276114 1.24152651899692 1.38581956260357 1.16311671771475 1.23608846229302 1.3630783645976 1.21572285094966 1.48022325919361 1.46632069409021 1.53304488267327 1.24850009424721 1.34961397132367 1.16105077290396 1.36907318980531 1.30154979187989 1.28500701300291 1.34927954088917 1.40584354988 1.30466711897465 1.32272396800879 1.38829816085941 1.35056300731501 1.28758048496753 1.28504591352109 1.38981462090387 1.31297166632901 1.39961725449535 1.33938742535225 1.33264187973774 1.31611623907324 1.19960276607747 1.2404687932724 1.23501412514073 1.19168353794732 1.23963611794688 1.21171038926877 1.27254305957438 1.28351091958257 1.23057917740624 1.27091707676457 1.21533807142838 1.18940317876907 1.23568151831672 1.21870726186726 1.15205193174387 1.17913008530483
"brief_42" 1.53603392600985 1.26969366507907 1.32350057065477 1.04544419795029 1.28995374419334 1.19889794525186 1.18982774763818 0 1.32542379641514 1.32790430133419 1.1526935834334 1.2448522497867 1.30669537772325 1.35746933975295 1.36489122638144 1.37966227190792 1.20176970860939 1.40355087468302 1.37376969128255 1.26606045318203 1.23676797221057 1.32234468267102 1.26152854928616 1.44131217528513 1.25490645005734 1.24667197748715 1.29684484659996 1.34149340648414 1.45871189181389 1.21278842514417 1.2107963063053 1.25427488841997 1.17077425659496 1.20559034039967 1.2900557768612 1.17421934622239 1.2015126438951 1.27940714624412 1.20776584109781 1.16455235818684 1.11835352709822 1.17133096450045 1.17867772075497 1.0950155809063 1.27176270547689 1.15236848497477 1.21764439514603 1.21333458065982 1.21820479692998 1.28070454820267 1.22415802383424 1.22880474954837 1.20562352078032 1.10178113927898 1.15386474541606 1.17841899558728
"brief_46" 1.49278347598435 1.47231043241382 1.27532745522073 1.18711307539513 1.51480295246735 1.49111394196129 1.36255420399548 1.32542379641514 0 1.32372377645726 1.26120503816147 1.40535971465333 1.44666112469567 1.33884311600338 1.44703770820114 1.43022378857087 1.24783679012353 1.54308019818134 1.4234719587026 1.40587152675406 1.22479115035914 1.26568111842981 1.3077289037649 1.28484142652783 1.27406258512814 1.41975078877006 1.39123953008145 1.36220880773751 1.40960373808072 1.22975770942694 1.41248883388463 1.29121465388999 1.2681862896105 1.27896399102527 1.19623721134088 1.22053754150446 1.28199931405783 1.30906566561199 1.24395126519855 1.24299884499911 1.24903214442525 1.2135148842772 1.3073410094161 1.17257171104625 1.30470664864057 1.20048256755695 1.29953892872022 1.24158100787124 1.25914839078416 1.29037986812788 1.21390739115036 1.24984643102852 1.2297198280243 1.27325199879067 1.22552088807595 1.31132241887496
"brief_48" 1.67628461325967 1.46955380963401 1.31133201430205 1.25113547847597 1.59274282611334 1.38206896404908 1.31522663721295 1.32790430133419 1.32372377645726 0 1.29687479883233 1.41875867755171 1.47858506228578 1.31483772457933 1.4802981849257 1.43197813824099 1.29686491840509 1.46162841589527 1.58182055339429 1.57091753425105 1.35912977946186 1.44694430857724 1.29302525199313 1.36064461033648 1.3415090089436 1.39433708515372 1.4135200471516 1.33464006059998 1.329124850473 1.3693845103999 1.4143364436986 1.35984164744614 1.4314592951129 1.28920162742158 1.45361284911768 1.2920835358598 1.40407653812041 1.44366240347682 1.44252730080521 1.32121762772325 1.20377803292033 1.3632333047155 1.43850016423335 1.21958377055148 1.4159423713812 1.40596771611358 1.35374043302731 1.39003938095938 1.33764908308177 1.43877388106341 1.28835412363923 1.38461708003961 1.35756943425147 1.18898061840946 1.33744205083414 1.37672906182512
"brief_50" 1.52851840908302 1.23619272221469 1.13681201295945 1.15294044349767 1.41106726877012 1.22807562184915 1.16715596276114 1.1526935834334 1.26120503816147 1.29687479883233 0 1.32039504686585 1.42763781391712 1.29320744318467 1.41679645907304 1.33966661154903 1.22843463564396 1.40024863390193 1.49151271359116 1.38236558813712 1.23987060718475 1.24212317971802 1.30508037643177 1.39351548829144 1.19441942662973 1.40928554274213 1.2711552265943 1.33813389269039 1.41116332274837 1.32275511707235 1.37537545806229 1.27387892782912 1.28031842318472 1.31845970297975 1.36560104592619 1.20974427899242 1.35445211126929 1.34873662178286 1.29285940712697 1.39325201743506 1.16244936751275 1.3523799410804 1.37110391960582 1.26218084664907 1.29408228143464 1.2143434591089 1.34371313751927 1.28360741241464 1.26031530331036 1.30008785241523 1.31166834822478 1.34084934378972 1.2794290105727 1.21603157357998 1.27804518126083 1.28130763228261
"mutter_1" 1.57102663886065 1.34965207341293 1.35871715458356 1.27965085330164 1.49901929763614 1.55351324942293 1.24152651899692 1.2448522497867 1.40535971465333 1.41875867755171 1.32039504686585 0 1.02594381140745 0.873348789361921 0.9328955526178 1.00049336760094 1.01382565889206 1.24335093259026 1.14246705030236 1.1323493631019 0.940662706374994 0.949758090340239 0.972501154463959 1.18725515918333 0.99841204275448 0.981549197373909 1.16095491939791 1.11737136950528 1.05211579201311 0.964324803981018 1.25116432210031 1.02060484483881 0.944647696755111 0.892328502800063 1.13715911349832 1.03706909108624 1.15358168175824 1.21850812978149 0.986207966200794 1.16740368046675 1.00801140028568 1.04241740433468 1.07675751082355 1.03958857997327 1.14107457583009 1.13312143604805 1.06574581290989 1.03364604392442 1.03581811054174 1.05966575008232 1.05984203297959 1.08837608228211 0.989137320793343 1.05737847915567 1.06768010894066 1.03568201838192
"mutter_10" 1.61873439760993 1.5349405401638 1.32039387912841 1.28524644801728 1.30735101047385 1.4244942901156 1.38581956260357 1.30669537772325 1.44666112469567 1.47858506228578 1.42763781391712 1.02594381140745 0 0.714980866856365 0.674903501061666 0.813408761331103 0.832978791713034 1.22102543512735 1.02983485404317 0.785627838813169 0.888819745775912 0.883907299252909 0.823758060590561 1.07093100456797 0.782894196551402 0.909494809130075 0.950952155153083 0.895421357383461 0.915302398110745 1.01199094788304 1.17581209027777 0.934353910191237 0.881113472395155 0.817925083841214 1.02014965018101 0.69568109796325 1.02806230744971 1.03397314610274 0.945216906089662 0.928107535215977 0.939822993696788 0.897970695630204 1.03158975588455 0.897508363450344 0.985447445721739 0.988622928140926 0.959877916278939 1.01331784989354 0.991840019763812 0.998725480647399 0.933661792457608 0.87178047932121 0.800478854105716 0.951009169641891 0.91946385168952 0.945786001622608
"mutter_14" 1.62666759053992 1.57686494051279 1.28403261241019 1.27863715354779 1.31001211714925 1.43923716926781 1.16311671771475 1.35746933975295 1.33884311600338 1.31483772457933 1.29320744318467 0.873348789361921 0.714980866856365 0 0.697276578176245 0.786792997390744 0.803984071171663 1.17986356470366 1.07948401394206 0.920646576043293 0.931447912971129 0.893269594422832 0.782780518534028 1.04510928035928 0.730612386092572 0.982486433082563 0.847605603443211 0.946228432329516 0.725521122265946 0.97544685329315 1.12949459657382 1.00579966364646 0.874488453984561 0.780328799313752 1.01017102393763 0.788291403570983 1.00236257010914 1.12768347790861 0.903397653591388 0.996076174876567 0.845672349485732 0.920624662245391 0.98850290471857 0.948736648743413 0.928426606017782 1.00646627504344 0.936438003366803 0.975280943539458 0.976055150946736 1.0316152536032 0.841959866033326 0.892298180713606 0.803074556795923 0.890439763960743 0.938490072437473 0.891983905131656
"mutter_18" 1.62854058164503 1.56326041548751 1.26298695543387 1.23979461061432 1.46129681835335 1.47488137685397 1.23608846229302 1.36489122638144 1.44703770820114 1.4802981849257 1.41679645907304 0.9328955526178 0.674903501061666 0.697276578176245 0 0.881717392206691 0.913176237199627 1.03933145549469 1.03063308307516 0.936890469026264 0.814880371942782 0.817985265653712 0.800814212550831 0.997254517975336 0.889161659546478 0.992724406679175 0.993588804058332 1.00389389837454 0.900384595894437 0.869961090125554 1.1681076287556 0.911820569540394 0.75945304743857 0.780500694520873 0.906473536452302 0.70800664482721 1.02451935673438 1.0809745915572 0.954644778216939 0.968998367685161 0.896499534848615 0.849509005764455 1.04636152407235 0.8462575458719 0.852957582041876 0.917101947429537 0.879127628981107 0.980463772444552 0.902472149697021 0.890366377732728 0.806022448403179 0.885352900931852 0.777734701788042 0.944710435880065 0.849372072550839 0.751571555186361
"mutter_20" 1.63617141218308 1.50400874971881 1.22776041333101 1.34049236342751 1.27885870673178 1.53185186432612 1.3630783645976 1.37966227190792 1.43022378857087 1.43197813824099 1.33966661154903 1.00049336760094 0.813408761331103 0.786792997390744 0.881717392206691 0 0.717694002234047 1.07977038161319 1.09304190035097 1.14203326956851 0.813540512000376 0.778953155434124 0.832942994530123 0.954153249094971 0.740989383328835 1.12280089718291 0.964058758646466 0.856746783021332 0.909854845436922 0.965230246796244 1.14945485866519 0.911309692718742 0.880438596956207 0.834356437742558 0.981508120796875 0.853558799126292 0.998565729400303 1.14779001285153 1.00200093476186 0.997159630096263 0.805216727615118 0.948486527523566 1.10133932503292 0.905017005835096 0.848614853347332 1.01624105335668 0.961923202646532 0.989272957310746 0.989480593121711 1.02572777084344 0.900832557296028 0.89002985177195 0.820558882575171 0.951452769300027 0.9127549822583 0.852412830951765
"mutter_24" 1.64069988712498 1.50756260948017 1.19722936563236 1.11607742422339 1.35154889082624 1.35370937287005 1.21572285094966 1.20176970860939 1.24783679012353 1.29686491840509 1.22843463564396 1.01382565889206 0.832978791713034 0.803984071171663 0.913176237199627 0.717694002234047 0 0.948994030590642 1.11472490386505 1.11144391570116 0.750139329718796 0.710557798178004 0.744835231521715 0.93906323956259 0.728774941595994 1.05735703270841 0.809042415525608 0.919558824345256 0.954355977941633 0.912604120605224 1.25742942275376 0.882920517141037 0.889992482295842 0.794449534021968 0.952325658333698 0.770852173897537 1.05287747510374 1.08975942554639 1.03342236059827 1.0178657713464 0.906803151149929 0.987903419986279 1.04598742100578 0.855423291828642 0.988564595218884 1.03162128261562 0.942328396763723 0.973016411464495 1.03371760410473 1.04117565098885 0.935826031996281 0.904634773021075 0.918100279672246 0.918682278378545 0.951936927745995 0.941478610786385
"mutter_26" 1.91233989550553 1.53535657771938 1.37827127591864 1.4383188340563 1.50882556670235 1.49343576891706 1.48022325919361 1.40355087468302 1.54308019818134 1.46162841589527 1.40024863390193 1.24335093259026 1.22102543512735 1.17986356470366 1.03933145549469 1.07977038161319 0.948994030590642 0 1.33633529580729 1.35534783610226 0.921286826637154 0.881582127374796 0.979043160176014 1.05853167978287 1.0827883780568 1.34082220964528 1.33137301301852 1.22536073385353 1.23760093029567 0.925520594649578 1.38608382216425 1.04005830884861 0.980034340699396 0.991970641089674 1.00042119785095 1.06617425465097 1.1721277600954 1.312474382933 1.20755328094781 1.15431178305126 0.984006103550693 1.20944664890538 1.25579193098932 1.03776468788851 1.08832851882144 1.16220886422063 1.09451395127897 1.19932758929568 1.15344604298445 1.3321771431094 1.12151091653226 1.1817441286544 1.02064919981019 1.07995228446963 1.12108832786477 0.949682527511672
"mutter_29" 1.61420414048493 1.4410057593483 1.37038051582881 1.36556656998546 1.40727384597519 1.60413779226118 1.46632069409021 1.37376969128255 1.4234719587026 1.58182055339429 1.49151271359116 1.14246705030236 1.02983485404317 1.07948401394206 1.03063308307516 1.09304190035097 1.11472490386505 1.33633529580729 0 1.29757735351799 1.06094876257626 0.952889129324672 1.01131970751097 1.27834017508196 1.08764689248729 1.15597260700536 1.13072009236736 1.12632876028143 1.19546162842839 1.16617861472725 1.17381392206008 1.08392178516258 1.06151559326111 0.95560163205138 1.07351511941276 0.984509624052938 1.16449541550113 1.21054678565933 1.14175784416524 1.02943080577742 1.20194188026358 1.11054949729484 1.12666507442236 1.03572192743935 1.18190155124555 1.21529260195722 1.19455354803783 1.14724164302417 1.12186551227138 1.20489465669914 1.10648665884593 1.10970372477561 1.12389624200299 1.12134590381696 1.10347379109422 1.17803213081022
"mutter_3" 1.83650979115077 1.67210051988607 1.42679758735055 1.38193754395949 1.56068067185581 1.44112777294999 1.53304488267327 1.26606045318203 1.40587152675406 1.57091753425105 1.38236558813712 1.1323493631019 0.785627838813169 0.920646576043293 0.936890469026264 1.14203326956851 1.11144391570116 1.35534783610226 1.29757735351799 0 1.19699727327727 1.16507385299032 1.16095684520951 1.32211917725164 1.03902303682431 1.04604112759974 1.07541456792392 1.0179201653604 1.12972112274249 1.16765183704717 1.24993929436433 1.09408671966835 1.03957038623437 0.994071651140097 1.14175157880158 0.842011682740341 1.02463551371669 1.16870779285932 0.981322313490614 1.08540324185033 1.04047418788579 0.932991331255704 1.19444540014539 1.02915631263478 1.12099628091525 1.09432060184844 0.952191398391301 1.1390172388047 1.17340919226833 1.05109675772464 1.00327402507954 1.08086241677886 0.919412440973183 0.964357374714826 1.0278428223324 1.06529918488838
"mutter_34" 1.64844092243476 1.3283809847405 0.998056726527179 1.17113840987398 1.39830757870856 1.3886587325048 1.24850009424721 1.23676797221057 1.22479115035914 1.35912977946186 1.23987060718475 0.940662706374994 0.888819745775912 0.931447912971129 0.814880371942782 0.813540512000376 0.750139329718796 0.921286826637154 1.06094876257626 1.19699727327727 0 0.675245285765075 0.778623509422078 0.925964288740713 0.819313523103982 1.07989399619413 1.01859211357609 0.884291697681565 1.02404664741358 0.789988557825935 1.18113131597712 0.783256592516359 0.754861622770722 0.811860575438424 0.8580976807591 0.727096733787737 1.01794543403861 1.07946424958831 1.02486479240711 0.989822578011006 0.816250121991191 0.942447861865384 1.08858567520404 0.799835698150233 0.968266696199076 0.963211208839138 0.942182195708118 0.979979369156383 0.914095256081323 1.04585844562008 0.916621627340467 0.835510639402636 0.889490680783113 0.851017608730435 0.925255675396053 0.867237083941461
