"brief_11" "brief_13" "brief_16" "brief_22" "brief_27" "brief_31" "brief_37" "brief_42" "brief_46" "brief_48" "brief_50" "mutter_1" "mutter_10" "mutter_14" "mutter_18" "mutter_20" "mutter_24" "mutter_26" "mutter_29" "mutter_3" "mutter_34" "mutter_36" "mutter_40" "mutter_44" "mutter_49" "mutter_5" "mutter_52" "mutter_55" "mutter_7" "robert_21" "robert_33" "robert_35" "robert_38" "robert_45" "robert_53" "robert_8" "walter_12" "walter_15" "walter_17" "walter_19" "walter_2" "walter_23" "walter_25" "walter_28" "walter_30" "walter_32" "walter_39" "walter_4" "walter_41" "walter_43" "walter_47" "walter_51" "walter_54" "walter_56" "walter_6" "walter_9"
"und" 3.6697247706422 2.02312138728324 3.12925170068027 2.47747747747748 2.89855072463768 1.37614678899083 2.67062314540059 3.94736842105263 2.77227722772277 4.89977728285078 3.28767123287671 2.90037831021438 3.47021399652979 2.97590930562116 3.16879951249238 3.06306306306306 3.36538461538462 2.7592768791627 3.20855614973262 3.95604395604396 3.35443037974684 3.16635160680529 3.59408033826638 2.5792188651437 2.61780104712042 3.16509837467921 3.41614906832298 3.87038703870387 3.79377431906615 2.87081339712919 3.24118207816969 3.26481257557437 3.24897400820793 3.24794144556267 3.84911470361817 3.2698526769673 3.45443716497915 2.56166982922201 2.72506082725061 4.02993667242372 4.06862745098039 2.89945765540259 2.39958268127282 3.57253805529668 2.52707581227437 3.54989953114534 3.37552742616034 3.79871731623088 3.98268398268398 3.69707811568277 2.87839586028461 3.37964701464514 2.72145144076841 5.24475524475525 3.45567718394505 2.95580110497238
"die" 0.917431192660551 2.02312138728324 2.58503401360544 2.25225225225225 2.53623188405797 1.14678899082569 3.56083086053412 1.50375939849624 1.38613861386139 2.89532293986637 3.01369863013699 2.1437578814628 1.90861769809138 2.83419933868682 2.80316879951249 2.7027027027027 3.54567307692308 5.32825880114177 2.45989304812834 2.08791208791209 3.10126582278481 3.54442344045369 3.03030303030303 4.34782608695652 2.66539742979534 2.39520958083832 3.41614906832298 3.69036903690369 3.40466926070039 2.93460925039872 2.00190657769304 3.32527206771463 2.39398084815321 2.47026532479414 2.07852193995381 2.37154150197628 2.50148898153663 1.89753320683112 2.33576642335766 2.36039147956246 2.99019607843137 2.44055068836045 2.19092331768388 2.88909599254427 4.15162454873646 2.77963831212324 2.42616033755274 2.9600394671929 2.94372294372294 2.20632081097197 2.87839586028461 2.92902741269245 3.14834578441836 2.7972027972028 3.00493668169135 2.67955801104972
"das" 1.8348623853211 0.289017341040462 1.36054421768707 1.8018018018018 1.44927536231884 1.37614678899083 0.593471810089021 1.69172932330827 1.38613861386139 1.33630289532294 2.73972602739726 1.63934426229508 1.96645459803355 2.26735947094946 1.64533820840951 1.92192192192192 1.98317307692308 0.666032350142721 2.7807486631016 1.97802197802198 1.13924050632911 2.22117202268431 1.05708245243129 0.736919675755343 1.52308424559733 1.79640718562874 2.17391304347826 1.35013501350135 3.40466926070039 2.00956937799043 3.24118207816969 2.29746070133011 2.49658002735978 2.15004574565416 1.4626635873749 1.72475745598275 1.31030375223347 1.70777988614801 2.28710462287105 2.24525043177893 1.66666666666667 2.04422194409679 2.34741784037559 1.92606399502951 1.86522262334537 1.94239785666443 2.0393811533052 2.61470152935372 2.64069264069264 1.96779964221825 2.13454075032342 2.02778820878708 1.974386339381 2.14785214785215 2.23223867782786 1.62983425414365
"der" 0.917431192660551 0.578034682080925 1.22448979591837 0.675675675675676 1.08695652173913 0.917431192660551 0.29673590504451 1.12781954887218 0.792079207920792 0.22271714922049 1.91780821917808 2.52206809583859 1.5615962984384 2.1728861596599 2.0109689213894 2.22222222222222 1.02163461538462 2.09324452901998 1.3903743315508 2.41758241758242 1.51898734177215 1.46502835538752 1.26849894291755 1.32645541635962 1.23750594954783 1.62532078699743 1.44927536231884 1.98019801980198 1.07003891050584 1.75438596491228 0.953288846520496 1.45102781136638 2.35978112175103 2.15004574565416 2.07852193995381 1.65289256198347 2.20369267421084 2.46679316888046 2.91970802919708 2.18767990788716 2.69607843137255 2.06508135168961 2.13875847678665 1.83286735010873 2.10589651022864 1.54052243804421 1.9690576652602 1.52935372471633 1.94805194805195 2.08706022659511 1.90815006468305 1.65227187382651 2.50800426894344 2.04795204795205 1.97467267654003 2.20994475138122
"ich" 1.8348623853211 2.60115606936416 0.952380952380952 1.8018018018018 2.89855072463768 3.21100917431193 2.37388724035608 1.12781954887218 1.58415841584158 1.78173719376392 1.64383561643836 2.77427490542245 4.8582995951417 4.53471894189891 4.57038391224863 3.3033033033033 2.34375 0.570884871550904 2.7807486631016 4.94505494505495 1.64556962025316 1.13421550094518 2.5369978858351 0.221075902726603 3.28415040456925 2.8229255774166 3.72670807453416 3.15031503150315 4.28015564202335 0.956937799043062 3.62249761677788 1.63240628778718 1.33378932968536 2.60750228728271 1.69361046959199 3.91663672296083 1.01250744490768 0.94876660341556 0.875912408759124 0.690846286701209 0.931372549019608 1.35586149353358 1.14762649973918 0.465983224603914 1.14320096269555 1.07166778298727 1.12517580872011 1.03601381351751 1.08225108225108 1.72927847346452 1.32600258732212 1.16410063837777 2.24119530416222 1.4985014985015 0.794161837304142 0.856353591160221
"er" 0.917431192660551 0.867052023121387 0.136054421768707 2.25225225225225 0.36231884057971 1.14678899082569 2.07715133531157 2.06766917293233 1.18811881188119 1.11358574610245 0.547945205479452 2.64817150063052 0.867553499132447 0.755786490316486 1.34064594759293 0.36036036036036 0.240384615384615 0.190294957183635 0.320855614973262 0.989010989010989 0.822784810126582 0.330812854442344 0.140944326990839 0.368459837877671 0.523560209424084 2.48075278015398 0.20703933747412 0.27002700270027 0.583657587548638 1.21212121212121 1.04861773117255 0.241837968561064 0.889192886456908 0.823421774931381 0.46189376443418 0.790513833992095 1.72721858248958 1.61290322580645 2.38442822384428 1.84225676453656 0.686274509803922 2.21109720483938 2.08659363588941 1.73967070518795 1.50421179302046 2.2438044206296 2.28551336146273 2.61470152935372 1.2987012987013 2.32558139534884 1.97283311772316 2.02778820878708 1.65421558164354 1.0989010989011 2.42541317879373 2.43093922651934
"in" 2.29357798165138 1.44508670520231 1.36054421768707 0.900900900900901 1.08695652173913 1.14678899082569 0.890207715133531 1.69172932330827 1.58415841584158 0.44543429844098 1.36986301369863 1.38713745271122 1.04106419895894 1.27538970240907 1.76721511273614 1.14114114114114 1.32211538461538 2.09324452901998 1.49732620320856 0.989010989010989 1.39240506329114 1.89035916824197 1.47991543340381 1.40014738393515 1.95145168967158 0.940975192472198 1.13871635610766 1.08010801080108 0.680933852140078 1.62679425837321 1.81124880838894 1.51148730350665 1.43638850889193 1.18938700823422 1.92455735180908 1.36543298598635 1.131625967838 1.04364326375712 1.45985401459854 1.26655152561888 1.34803921568627 1.10554860241969 1.46061554512259 1.18049083566325 1.50421179302046 1.64099129269926 1.16033755274262 1.03601381351751 1.38528138528139 1.1329755515802 0.970245795601552 0.788584303417199 1.44076840981857 1.2987012987013 1.11611933891393 1.62983425414365
"nicht" 1.8348623853211 2.02312138728324 1.7687074829932 1.35135135135135 1.81159420289855 0.458715596330275 1.18694362017804 0.93984962406015 0.99009900990099 1.11358574610245 0.547945205479452 1.38713745271122 1.21457489878543 1.18091639111951 1.27970749542962 0.960960960960961 0.901442307692308 0.570884871550904 1.17647058823529 0.879120879120879 1.26582278481013 0.708884688090737 1.40944326990839 1.76860722181282 1.04712041884817 1.28314798973482 1.0351966873706 0.72007200720072 0.972762645914397 0.733652312599681 1.90657769304099 1.45102781136638 1.16279069767442 0.960658737419945 0.846805234795997 0.934243621990658 1.31030375223347 1.80265654648956 1.31386861313869 0.863557858376511 0.808823529411765 1.46015853149771 1.19979134063641 1.02516309412861 0.661853188929001 1.20562625586068 0.984528832630098 1.23334977799704 1.12554112554113 1.3118664281455 1.32600258732212 1.314307172362 1.12059765208111 1.0989010989011 1.28783000643915 0.883977900552486
"sie" 0.917431192660551 1.44508670520231 1.49659863945578 0.900900900900901 1.81159420289855 1.37614678899083 1.78041543026706 0.18796992481203 1.38613861386139 0.89086859688196 2.19178082191781 2.26986128625473 2.13996529786003 2.92867264997638 1.2187690432663 2.58258258258258 3.60576923076923 1.14176974310181 0.53475935828877 1.42857142857143 1.20253164556962 1.13421550094518 3.03030303030303 1.69491525423729 2.5702046644455 0.76988879384089 3.00207039337474 0.99009900990099 1.4591439688716 0.382775119617225 0.476644423260248 0.846432889963724 0.683994528043776 0 0.69284064665127 0.970176068990298 0.476474091721263 2.18216318785579 0.340632603406326 0.518134715025907 1.34803921568627 0.396328744263663 0.312989045383412 0.714507611059335 0.902527075812274 0.535833891493637 0.632911392405063 0.148001973359645 1.12554112554113 0.417412045319022 1.09961190168176 0.563274502440856 1.01387406616862 0.799200799200799 0.922944837948057 0.635359116022099
"den" 1.8348623853211 0.867052023121387 1.08843537414966 0.45045045045045 0.72463768115942 0.917431192660551 1.18694362017804 0.37593984962406 0.396039603960396 0.89086859688196 1.36986301369863 0.882723833543506 0.983227299016773 0.850259801606046 1.03595368677636 1.02102102102102 0.721153846153846 1.04662226450999 0.748663101604278 0.32967032967033 0.949367088607595 0.945179584120983 0.845665961945032 0.810611643330877 0.999524036173251 1.19760479041916 0.41407867494824 0.81008100810081 0.875486381322957 0.925039872408293 0.476644423260248 1.02781136638452 0.85499316005472 0.823421774931381 1.69361046959199 1.00610851598994 0.655151876116736 0.664136622390892 1.0705596107056 0.921128382268279 1.44607843137255 1.06382978723404 0.625978090766823 0.869835352593973 1.50421179302046 1.23911587407904 0.59774964838256 0.986679822397632 1.12554112554113 1.19260584376863 0.970245795601552 0.90123920390537 0.96051227321238 1.44855144855145 1.09465550547328 1.02209944751381
