Source,Target,Weight,Type
brief_11,brief_13,3,undirected
brief_11,brief_22,1,undirected
brief_11,brief_27,4,undirected
brief_13,brief_11,3,undirected
brief_13,brief_37,2,undirected
brief_13,brief_42,3,undirected
brief_16,brief_37,3,undirected
brief_16,brief_42,1,undirected
brief_16,brief_50,2,undirected
brief_22,brief_11,1,undirected
brief_22,brief_31,3,undirected
brief_22,brief_37,1,undirected
brief_22,brief_42,4,undirected
brief_22,brief_50,1,undirected
brief_27,brief_11,4,undirected
brief_27,brief_37,4,undirected
brief_27,brief_42,2,undirected
brief_31,brief_22,3,undirected
brief_31,brief_37,2,undirected
brief_31,brief_42,5,undirected
brief_31,brief_48,1,undirected
brief_37,brief_13,2,undirected
brief_37,brief_16,3,undirected
brief_37,brief_22,1,undirected
brief_37,brief_27,4,undirected
brief_37,brief_31,2,undirected
brief_37,brief_42,6,undirected
brief_37,brief_46,5,undirected
brief_37,brief_50,3,undirected
brief_42,brief_13,3,undirected
brief_42,brief_16,1,undirected
brief_42,brief_22,4,undirected
brief_42,brief_27,2,undirected
brief_42,brief_31,5,undirected
brief_42,brief_37,6,undirected
brief_42,brief_46,2,undirected
brief_42,brief_48,2,undirected
brief_42,brief_50,2,undirected
brief_42,mutter_1,1,undirected
brief_46,brief_37,5,undirected
brief_46,brief_42,2,undirected
brief_46,brief_48,4,undirected
brief_48,brief_31,1,undirected
brief_48,brief_42,2,undirected
brief_48,brief_46,4,undirected
brief_50,brief_16,2,undirected
brief_50,brief_22,1,undirected
brief_50,brief_37,3,undirected
brief_50,brief_42,2,undirected
mutter_1,brief_42,1,undirected
mutter_1,robert_33,2,undirected
mutter_1,robert_38,3,undirected
mutter_10,mutter_14,5,undirected
mutter_10,mutter_18,4,undirected
mutter_10,mutter_20,5,undirected
mutter_10,mutter_3,2,undirected
mutter_10,mutter_55,2,undirected
mutter_14,mutter_10,5,undirected
mutter_14,mutter_18,2,undirected
mutter_14,robert_38,2,undirected
mutter_18,mutter_10,4,undirected
mutter_18,mutter_14,2,undirected
mutter_18,walter_9,2,undirected
mutter_20,mutter_10,5,undirected
mutter_20,mutter_24,6,undirected
mutter_20,mutter_34,1,undirected
mutter_20,mutter_40,2,undirected
mutter_20,mutter_49,1,undirected
mutter_24,mutter_20,6,undirected
mutter_24,mutter_34,3,undirected
mutter_24,mutter_36,1,undirected
mutter_24,mutter_40,1,undirected
mutter_26,mutter_34,2,undirected
mutter_26,mutter_36,3,undirected
mutter_26,robert_38,1,undirected
mutter_29,mutter_36,1,undirected
mutter_29,robert_33,3,undirected
mutter_29,robert_38,2,undirected
mutter_3,mutter_10,2,undirected
mutter_3,robert_33,3,undirected
mutter_3,robert_38,1,undirected
mutter_34,mutter_20,1,undirected
mutter_34,mutter_24,3,undirected
mutter_34,mutter_26,2,undirected
mutter_34,mutter_36,2,undirected
mutter_34,mutter_44,1,undirected
mutter_34,robert_38,3,undirected
mutter_36,mutter_24,1,undirected
mutter_36,mutter_26,3,undirected
mutter_36,mutter_29,1,undirected
mutter_36,mutter_34,2,undirected
mutter_36,mutter_40,3,undirected
mutter_36,mutter_44,2,undirected
mutter_36,mutter_49,4,undirected
mutter_36,mutter_55,3,undirected
mutter_36,robert_21,2,undirected
mutter_36,robert_38,3,undirected
mutter_40,mutter_20,2,undirected
mutter_40,mutter_24,1,undirected
mutter_40,mutter_36,3,undirected
mutter_44,mutter_34,1,undirected
mutter_44,mutter_36,2,undirected
mutter_44,mutter_49,3,undirected
mutter_49,mutter_20,1,undirected
mutter_49,mutter_36,4,undirected
mutter_49,mutter_44,3,undirected
mutter_49,mutter_52,2,undirected
mutter_49,robert_21,2,undirected
mutter_5,robert_33,2,undirected
mutter_5,walter_32,1,undirected
mutter_5,walter_47,3,undirected
mutter_52,mutter_49,2,undirected
mutter_52,mutter_55,2,undirected
mutter_52,mutter_7,6,undirected
mutter_55,mutter_10,2,undirected
mutter_55,mutter_36,3,undirected
