Source,Target,Weight,Type
cb_tessin_1960,wk_gruesse_2003,3,undirected
cb_tessin_1960,wk_hundstage_1988,1,undirected
cb_tessin_1960,wk_kapitel_1975,2,undirected
cw_kindheitsmuster_1976,gg_blechtrommel_1959,2,undirected
cw_kindheitsmuster_1976,hb_gruppenbild_1971,6,undirected
cw_kindheitsmuster_1976,wk_heilewelt_1998,1,undirected
cw_kindheitsmuster_1976,wk_hundstage_1988,2,undirected
gg_blechtrommel_1959,cw_kindheitsmuster_1976,2,undirected
gg_blechtrommel_1959,wk_hundstage_1988,3,undirected
gg_blechtrommel_1959,wk_willkommen_1984,1,undirected
hb_gruppenbild_1971,cw_kindheitsmuster_1976,6,undirected
hb_gruppenbild_1971,wk_kapitel_1975,2,undirected
hb_gruppenbild_1971,wk_willkommen_1984,1,undirected
wk_aussicht_1981,wk_heilewelt_1998,1,undirected
wk_aussicht_1981,wk_willkommen_1984,2,undirected
wk_aussicht_1981,wk_zeit_1978,6,undirected
wk_gold_1972,wk_kapitel_1975,5,undirected
wk_gold_1972,wk_tadel_1971,6,undirected
wk_gold_1972,wk_willkommen_1984,1,undirected
wk_gruesse_2003,cb_tessin_1960,3,undirected
wk_gruesse_2003,wk_heilewelt_1998,5,undirected
wk_gruesse_2003,wk_hundstage_1988,6,undirected
wk_gruesse_2003,wk_markbein_1991,3,undirected
wk_gruesse_2003,wk_umsonst_2006,3,undirected
wk_heilewelt_1998,cw_kindheitsmuster_1976,1,undirected
wk_heilewelt_1998,wk_aussicht_1981,1,undirected
wk_heilewelt_1998,wk_gruesse_2003,5,undirected
wk_heilewelt_1998,wk_hundstage_1988,4,undirected
wk_heilewelt_1998,wk_markbein_1991,1,undirected
wk_heilewelt_1998,wk_umsonst_2006,2,undirected
wk_heilewelt_1998,wk_willkommen_1984,3,undirected
wk_hundstage_1988,cb_tessin_1960,1,undirected
wk_hundstage_1988,cw_kindheitsmuster_1976,2,undirected
wk_hundstage_1988,gg_blechtrommel_1959,3,undirected
wk_hundstage_1988,wk_gruesse_2003,6,undirected
wk_hundstage_1988,wk_heilewelt_1998,4,undirected
wk_hundstage_1988,wk_markbein_1991,4,undirected
wk_hundstage_1988,wk_umsonst_2006,1,undirected
wk_hundstage_1988,wk_willkommen_1984,3,undirected
wk_kapitel_1975,cb_tessin_1960,2,undirected
wk_kapitel_1975,hb_gruppenbild_1971,2,undirected
wk_kapitel_1975,wk_gold_1972,5,undirected
wk_kapitel_1975,wk_tadel_1971,4,undirected
wk_kapitel_1975,wk_willkommen_1984,2,undirected
wk_kapitel_1975,wk_zeit_1978,2,undirected
wk_markbein_1991,wk_gruesse_2003,3,undirected
wk_markbein_1991,wk_heilewelt_1998,1,undirected
wk_markbein_1991,wk_hundstage_1988,4,undirected
wk_tadel_1971,wk_gold_1972,6,undirected
wk_tadel_1971,wk_kapitel_1975,4,undirected
wk_tadel_1971,wk_willkommen_1984,1,undirected
wk_umsonst_2006,wk_gruesse_2003,3,undirected
wk_umsonst_2006,wk_heilewelt_1998,2,undirected
wk_umsonst_2006,wk_hundstage_1988,1,undirected
wk_willkommen_1984,gg_blechtrommel_1959,1,undirected
wk_willkommen_1984,hb_gruppenbild_1971,1,undirected
wk_willkommen_1984,wk_aussicht_1981,2,undirected
wk_willkommen_1984,wk_gold_1972,1,undirected
wk_willkommen_1984,wk_heilewelt_1998,3,undirected
wk_willkommen_1984,wk_hundstage_1988,3,undirected
wk_willkommen_1984,wk_kapitel_1975,2,undirected
wk_willkommen_1984,wk_tadel_1971,1,undirected
wk_willkommen_1984,wk_zeit_1978,1,undirected
wk_zeit_1978,wk_aussicht_1981,6,undirected
wk_zeit_1978,wk_kapitel_1975,2,undirected
wk_zeit_1978,wk_willkommen_1984,1,undirected
