Source,Target,Weight,Type
alles-umsonst_2006,hundstage_1988,20,undirected
alles-umsonst_2006,letzte-grüße_2003,23,undirected
alles-umsonst_2006,mark-und-bein_1991,18,undirected
alles-umsonst_2006,tadellöser-wolff_1971,2,undirected
aus-großer-zeit_1978,heile-welt_1998,1,undirected
aus-großer-zeit_1978,herzlich-willkommen_1984,14,undirected
aus-großer-zeit_1978,hundstage_1988,1,undirected
aus-großer-zeit_1978,mark-und-bein_1991,13,undirected
aus-großer-zeit_1978,schöne-aussicht_1981,59,undirected
aus-großer-zeit_1978,tadellöser-wolff_1971,3,undirected
aus-großer-zeit_1978,uns-gehts-ja-noch-gold_1972,5,undirected
ein-kapitel-für-sich_1975,herzlich-willkommen_1984,5,undirected
ein-kapitel-für-sich_1975,hundstage_1988,5,undirected
ein-kapitel-für-sich_1975,mark-und-bein_1991,18,undirected
ein-kapitel-für-sich_1975,tadellöser-wolff_1971,40,undirected
ein-kapitel-für-sich_1975,uns-gehts-ja-noch-gold_1972,32,undirected
heile-welt_1998,aus-großer-zeit_1978,1,undirected
heile-welt_1998,herzlich-willkommen_1984,15,undirected
heile-welt_1998,hundstage_1988,28,undirected
heile-welt_1998,letzte-grüße_2003,21,undirected
heile-welt_1998,mark-und-bein_1991,13,undirected
heile-welt_1998,tadellöser-wolff_1971,3,undirected
herzlich-willkommen_1984,aus-großer-zeit_1978,14,undirected
herzlich-willkommen_1984,ein-kapitel-für-sich_1975,5,undirected
herzlich-willkommen_1984,heile-welt_1998,15,undirected
herzlich-willkommen_1984,hundstage_1988,10,undirected
herzlich-willkommen_1984,mark-und-bein_1991,14,undirected
herzlich-willkommen_1984,schöne-aussicht_1981,9,undirected
herzlich-willkommen_1984,tadellöser-wolff_1971,39,undirected
hundstage_1988,alles-umsonst_2006,20,undirected
hundstage_1988,aus-großer-zeit_1978,1,undirected
hundstage_1988,ein-kapitel-für-sich_1975,5,undirected
hundstage_1988,heile-welt_1998,28,undirected
hundstage_1988,herzlich-willkommen_1984,10,undirected
hundstage_1988,letzte-grüße_2003,47,undirected
hundstage_1988,mark-und-bein_1991,59,undirected
hundstage_1988,schöne-aussicht_1981,7,undirected
hundstage_1988,tadellöser-wolff_1971,18,undirected
letzte-grüße_2003,alles-umsonst_2006,23,undirected
letzte-grüße_2003,heile-welt_1998,21,undirected
letzte-grüße_2003,hundstage_1988,47,undirected
letzte-grüße_2003,mark-und-bein_1991,34,undirected
letzte-grüße_2003,tadellöser-wolff_1971,2,undirected
mark-und-bein_1991,alles-umsonst_2006,18,undirected
mark-und-bein_1991,aus-großer-zeit_1978,13,undirected
mark-und-bein_1991,ein-kapitel-für-sich_1975,18,undirected
mark-und-bein_1991,heile-welt_1998,13,undirected
mark-und-bein_1991,herzlich-willkommen_1984,14,undirected
mark-und-bein_1991,hundstage_1988,59,undirected
mark-und-bein_1991,letzte-grüße_2003,34,undirected
mark-und-bein_1991,schöne-aussicht_1981,8,undirected
mark-und-bein_1991,tadellöser-wolff_1971,39,undirected
mark-und-bein_1991,uns-gehts-ja-noch-gold_1972,2,undirected
schöne-aussicht_1981,aus-großer-zeit_1978,59,undirected
schöne-aussicht_1981,herzlich-willkommen_1984,9,undirected
schöne-aussicht_1981,hundstage_1988,7,undirected
schöne-aussicht_1981,mark-und-bein_1991,8,undirected
schöne-aussicht_1981,tadellöser-wolff_1971,10,undirected
schöne-aussicht_1981,uns-gehts-ja-noch-gold_1972,3,undirected
tadellöser-wolff_1971,alles-umsonst_2006,2,undirected
tadellöser-wolff_1971,aus-großer-zeit_1978,3,undirected
tadellöser-wolff_1971,ein-kapitel-für-sich_1975,40,undirected
tadellöser-wolff_1971,heile-welt_1998,3,undirected
tadellöser-wolff_1971,herzlich-willkommen_1984,39,undirected
tadellöser-wolff_1971,hundstage_1988,18,undirected
tadellöser-wolff_1971,letzte-grüße_2003,2,undirected
tadellöser-wolff_1971,mark-und-bein_1991,39,undirected
tadellöser-wolff_1971,schöne-aussicht_1981,10,undirected
tadellöser-wolff_1971,uns-gehts-ja-noch-gold_1972,20,undirected
uns-gehts-ja-noch-gold_1972,aus-großer-zeit_1978,5,undirected
uns-gehts-ja-noch-gold_1972,ein-kapitel-für-sich_1975,32,undirected
uns-gehts-ja-noch-gold_1972,mark-und-bein_1991,2,undirected
uns-gehts-ja-noch-gold_1972,schöne-aussicht_1981,3,undirected
uns-gehts-ja-noch-gold_1972,tadellöser-wolff_1971,20,undirected
