"alles-umsonst_2006" "aus-großer-zeit_1978" "ein-kapitel-für-sich_1975" "heile-welt_1998" "herzlich-willkommen_1984" "hundstage_1988" "letzte-grüße_2003" "mark-und-bein_1991" "schöne-aussicht_1981" "tadellöser-wolff_1971" "uns-gehts-ja-noch-gold_1972"
"alles-umsonst_2006" 0 0.935263353459759 0.916541050331932 0.790812937135503 0.827658455069683 0.76025199610995 0.750095193007545 0.668231527077084 0.935840472744503 0.78702659421033 1.20262610156011
"aus-großer-zeit_1978" 0.935263353459759 0 0.902091060056666 0.915392571901175 0.783385110825608 0.825903384845401 0.868648110319219 0.726810359686352 0.690712751184512 0.806085238278722 1.1086029773408
"ein-kapitel-für-sich_1975" 0.916541050331932 0.902091060056666 0 0.958808440676224 0.83237401298162 0.860844628206379 0.927101350473473 0.726354531672173 0.946628503632736 0.674192473245426 0.972195713430734
"heile-welt_1998" 0.790812937135503 0.915392571901175 0.958808440676224 0 0.750848257013759 0.710519893341331 0.695216700027381 0.682527378879298 0.857445715872076 0.752487668816938 1.24888254503212
"herzlich-willkommen_1984" 0.827658455069683 0.783385110825608 0.83237401298162 0.750848257013759 0 0.727595997308958 0.808842024083374 0.660328500845369 0.822981838968148 0.700370686173047 1.13166146557128
"hundstage_1988" 0.76025199610995 0.825903384845401 0.860844628206379 0.710519893341331 0.727595997308958 0 0.67022940530746 0.570155972542794 0.855357685016576 0.726749217977336 1.15697914088476
"letzte-grüße_2003" 0.750095193007545 0.868648110319219 0.927101350473473 0.695216700027381 0.808842024083374 0.67022940530746 0 0.629992809147424 0.88699387332841 0.7474459147575 1.183818579328
"mark-und-bein_1991" 0.668231527077084 0.726810359686352 0.726354531672173 0.682527378879298 0.660328500845369 0.570155972542794 0.629992809147424 0 0.764920283630234 0.615461380168572 1.04582717583083
"schöne-aussicht_1981" 0.935840472744503 0.690712751184512 0.946628503632736 0.857445715872076 0.822981838968148 0.855357685016576 0.88699387332841 0.764920283630234 0 0.834049009782514 1.16475624317702
"tadellöser-wolff_1971" 0.78702659421033 0.806085238278722 0.674192473245426 0.752487668816938 0.700370686173047 0.726749217977336 0.7474459147575 0.615461380168572 0.834049009782514 0 0.980503808439993
"uns-gehts-ja-noch-gold_1972" 1.20262610156011 1.1086029773408 0.972195713430734 1.24888254503212 1.13166146557128 1.15697914088476 1.183818579328 1.04582717583083 1.16475624317702 0.980503808439993 0
