"alles-umsonst_2006" "aus-großer-zeit_1978" "ein-kapitel-für-sich_1975" "heile-welt_1998" "herzlich-willkommen_1984" "hundstage_1988" "letzte-grüße_2003" "mark-und-bein_1991" "schöne-aussicht_1981" "tadellöser-wolff_1971" "uns-gehts-ja-noch-gold_1972"
"und" 3.80932487549609 4.27083982791945 3.24901563059301 3.56323806263906 4.06829745393251 3.43632936833791 3.19846163345594 3.3901609514113 3.73821893570376 3.30351138193157 2.63319507563232
"die" 3.12001846945394 3.27861551753316 3.17503877818876 3.16207427691254 3.07775546514895 3.39018839593647 2.6965519066395 3.58078981002101 3.2793125568346 2.78689192769366 2.82782664562882
"der" 2.48238255955849 2.29262600981536 2.07612456747405 2.49597809344515 2.20790976911632 2.16315135020998 2.15935854349149 2.17706821480406 2.42141845071515 1.88000570625038 2.22125641292127
"das" 2.11079473620563 1.98355793467708 2.03078391600048 1.85589594386445 2.06432280015399 1.85815170213265 1.80387590745102 1.77198189025843 2.04851296005188 1.9605045955695 2.14000245651496
"er" 2.10639724717187 1.65578545153332 1.57618422622599 2.14889611500941 0.96140840087817 2.71371481750854 2.60481445217744 1.91495353421571 1.81659253202123 1.38682263751044 1.30384255628726
"in" 1.45556887017513 1.401939914316 1.23254981505787 1.5314051001198 1.46812473337565 1.66811345986908 1.69449663482318 1.77414812728809 1.32807928999922 1.34402575964458 1.20274751750267
"sie" 2.06352172909269 1.55602860883739 1.10130056079227 1.21718295396201 1.34534747006004 1.33417794774339 1.30902290790089 1.9106210601564 1.51629434861376 1.07297886649412 1.15645165862001
"sich" 1.34563164433109 1.06080713973974 0.806586326214056 1.28495635803526 0.973894224266198 1.55158795329595 1.47750227138409 1.46870870610662 1.24701287898547 0.970062564959547 0.722782286637503
"den" 1.35992348369081 1.19262868187365 1.11203913614127 1.22129043299675 1.01655412084196 1.35138305609647 1.09996736263639 1.15027186274722 1.20965183738783 0.974138458089629 1.04496367192298
"mit" 1.09937225844043 1.19084730968265 1.10845961102494 1.16378572651035 1.35991426401274 1.10738333763461 0.96941790820962 1.17410047007344 1.24137347648017 0.915038007703438 1.1129902400771
"nicht" 0.999329382922351 1.01181940448728 1.11919818637394 1.08916652404587 0.974934709548533 0.892319483221109 1.21816754434712 0.963975478196824 1.03553528503655 1.13309829016283 1.1630653527461
"ein" 1.05429799584437 0.950362063897821 0.958119556138886 1.08026698613726 0.931234327690435 0.922819448028842 1.10614199899442 1.06362238156099 0.943894994325351 0.935417473353849 1.02417777609811
"auf" 0.923472697089962 0.814977777381917 0.730223123732252 0.964572993325347 0.841752593409566 0.910306641953875 0.943837271869239 0.931481922751987 0.917107832425155 0.795818133648536 0.889069453236458
"zu" 0.86850408416794 0.719674365163485 0.61925784512588 0.988533287694677 0.913546077890728 1.05029365991757 1.0673299990297 1.03329506314581 0.850139927674663 0.797856080213577 0.647197210910706
"es" 1.02571431712492 0.847042476819894 0.582269418923756 0.861201437617662 0.739785035740669 0.886063080183625 1.10702408990271 0.918484500574053 0.922747234930459 0.735698709979824 0.755850757267977
"war" 1.24998625784677 0.454249908704675 0.77079107505071 1.09395858291973 0.909384136761386 0.971306571569341 1.0752688172043 1.11344583324307 0.195969237059334 0.720414110742016 0.712389338725069
"dem" 0.982838799045745 0.775787589179945 0.582269418923756 0.910491186034571 0.748108917999355 0.839922107782183 0.759480272036836 0.82750254532851 0.862123657998435 0.505410748130184 0.719003032851164
"man" 0.693703895075912 0.991333624290791 0.853120152726405 0.551771350333733 0.801173667398475 0.338627814403804 0.667742817574779 0.591382709096029 0.895255147717099 0.970062564959547 0.84182878090721
"von" 0.721188201536922 0.67157731600652 0.628803245436105 0.702378914940955 0.814699976068838 0.848524661958723 0.783296726560639 0.8426662045361 0.75074545851867 0.628706515315168 0.595232471348532
"so" 0.546388012444894 0.746394948028466 0.800620451020165 0.587369501968167 0.648222330895129 0.474704580469074 0.497499272275001 0.437579879990469 0.658400242494308 0.702072591656647 0.788919227898451
