Source,Target,Weight,Type
alles-umsonst_2006,heile-welt_1998,29,undirected
alles-umsonst_2006,hundstage_1988,9,undirected
alles-umsonst_2006,letzte-grüße_2003,26,undirected
alles-umsonst_2006,mark-und-bein_1991,1,undirected
alles-umsonst_2006,schöne-aussicht_1981,1,undirected
aus-großer-zeit_1978,heile-welt_1998,2,undirected
aus-großer-zeit_1978,herzlich-willkommen_1984,19,undirected
aus-großer-zeit_1978,schöne-aussicht_1981,60,undirected
aus-großer-zeit_1978,tadellöser-wolff_1971,8,undirected
aus-großer-zeit_1978,uns-gehts-ja-noch-gold_1972,1,undirected
ein-kapitel-für-sich_1975,herzlich-willkommen_1984,10,undirected
ein-kapitel-für-sich_1975,tadellöser-wolff_1971,50,undirected
ein-kapitel-für-sich_1975,uns-gehts-ja-noch-gold_1972,60,undirected
heile-welt_1998,alles-umsonst_2006,29,undirected
heile-welt_1998,aus-großer-zeit_1978,2,undirected
heile-welt_1998,herzlich-willkommen_1984,31,undirected
heile-welt_1998,hundstage_1988,39,undirected
heile-welt_1998,letzte-grüße_2003,58,undirected
heile-welt_1998,mark-und-bein_1991,13,undirected
heile-welt_1998,schöne-aussicht_1981,13,undirected
herzlich-willkommen_1984,aus-großer-zeit_1978,19,undirected
herzlich-willkommen_1984,ein-kapitel-für-sich_1975,10,undirected
herzlich-willkommen_1984,heile-welt_1998,31,undirected
herzlich-willkommen_1984,hundstage_1988,21,undirected
herzlich-willkommen_1984,schöne-aussicht_1981,16,undirected
herzlich-willkommen_1984,tadellöser-wolff_1971,32,undirected
herzlich-willkommen_1984,uns-gehts-ja-noch-gold_1972,10,undirected
hundstage_1988,alles-umsonst_2006,9,undirected
hundstage_1988,heile-welt_1998,39,undirected
hundstage_1988,herzlich-willkommen_1984,21,undirected
hundstage_1988,letzte-grüße_2003,43,undirected
hundstage_1988,mark-und-bein_1991,44,undirected
letzte-grüße_2003,alles-umsonst_2006,26,undirected
letzte-grüße_2003,heile-welt_1998,58,undirected
letzte-grüße_2003,hundstage_1988,43,undirected
letzte-grüße_2003,mark-und-bein_1991,33,undirected
mark-und-bein_1991,alles-umsonst_2006,1,undirected
mark-und-bein_1991,heile-welt_1998,13,undirected
mark-und-bein_1991,hundstage_1988,44,undirected
mark-und-bein_1991,letzte-grüße_2003,33,undirected
schöne-aussicht_1981,alles-umsonst_2006,1,undirected
schöne-aussicht_1981,aus-großer-zeit_1978,60,undirected
schöne-aussicht_1981,heile-welt_1998,13,undirected
schöne-aussicht_1981,herzlich-willkommen_1984,16,undirected
tadellöser-wolff_1971,aus-großer-zeit_1978,8,undirected
tadellöser-wolff_1971,ein-kapitel-für-sich_1975,50,undirected
tadellöser-wolff_1971,herzlich-willkommen_1984,32,undirected
tadellöser-wolff_1971,uns-gehts-ja-noch-gold_1972,31,undirected
uns-gehts-ja-noch-gold_1972,aus-großer-zeit_1978,1,undirected
uns-gehts-ja-noch-gold_1972,ein-kapitel-für-sich_1975,60,undirected
uns-gehts-ja-noch-gold_1972,herzlich-willkommen_1984,10,undirected
uns-gehts-ja-noch-gold_1972,tadellöser-wolff_1971,31,undirected
