"cb_jauche_1975" "cb_quints_1985" "cb_tessin_1960" "cw_kindheitsmuster_1976" "cw_medea_1996" "cw_nachdenken_1968" "gg_blechtrommel_1959" "gg_raettin_1986" "gg_schnecke_1972" "hb_clown_1963" "hb_frauen_1975" "hb_gruppenbild_1971" "wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"und" 2.74566771754137 2.15794151730966 3.47390184910666 2.2873186212219 2.39528189851251 2.24506456879917 3.16553077750052 3.22620366949883 3.41589095744681 3.22111331683572 3.32987022134568 3.42846804468768 3.72670371124895 3.23170225139154 3.19058136158456 3.55674075690717 3.42115091344807 3.29387858775718 3.37386280343207 2.62135648378935 3.80558269211771 4.0487966392815 4.26140146840792
"die" 3.05680904988564 2.9545122129589 1.96613872200983 3.28061899978045 2.95082627161289 2.62728217307407 2.81342157433252 3.292697943603 2.69974512411348 2.10208576945041 2.07434538378911 2.37610626140184 3.26868093655823 3.15811960740099 2.68990822459018 3.15230216268935 3.37368896081666 2.77978155956312 3.5635752166602 2.81511300896359 3.11515537358814 3.06065434679138 3.26796225108533
"der" 2.34798376295564 2.30757979770705 1.34976983693532 2.60200789051741 1.86187878665888 1.66246103606947 2.45983292073105 2.29774658293314 2.25232712765957 1.38960650477252 1.31363468277307 2.13563104014956 2.41445441198165 2.06980856644394 2.15491829964715 2.48664943426338 2.15523948834459 1.87655575311151 2.16660199198034 2.21126985769242 2.47851333106484 2.19874593878691 2.28872770532409
"das" 1.46813377016752 1.41875091414363 1.49996098931107 1.35855282854425 1.52774702602605 1.5604126465786 1.0977522216414 1.10987973566474 0.946088209219858 1.03744595219319 1.19389318353907 1.14433036320051 2.04143279639764 2.01996225922453 1.79943157320475 1.84895957660122 1.84868195823348 1.95478790957582 1.76346311387056 2.13038121126045 2.10750469249092 2.05285267884858 1.97711272294676
"sie" 1.86272691681606 2.1613168168675 1.24249044238121 1.95932325174476 2.64889998188442 3.80362179011429 0.843286747083017 1.34219923654722 0.861591312056738 2.14423626029968 2.03912729577911 1.73006467954227 1.51105366312846 1.09543194198839 1.30579777732804 1.21331578265347 1.32737854408515 1.06985013970028 1.90143577803648 1.15125236317121 2.06030536864867 1.33890693872483 1.55097257610597
"er" 1.13020543570089 1.49413260426863 1.93102910197394 0.700566174562728 0.966164127131096 0.987086240166246 0.783615579599365 0.604194885687313 1.11785239361702 1.41951975634297 1.43337618200708 1.17599167759736 1.81031394229756 1.57015867741132 2.59839679006045 2.14086466652572 2.70144097600448 1.38277876555753 1.90574742379166 1.29798060553617 2.10311405771489 0.956066469383109 1.65040527703549
"in" 1.40425707279883 1.52676049999437 1.15861746118436 1.54018109602347 1.44924619069664 1.21159269704616 1.13523163262287 1.25436112137257 1.55280363475177 1.23460147390749 0.966736515874553 1.28303707389148 1.3234891219591 1.2259817942297 1.69032178588084 1.52840959467478 1.662724471694 1.34010668021336 1.76561893674816 1.19734008032431 1.45330011086353 1.4620367112969 1.39738456484876
"den" 1.38468195586326 1.27023773359886 1.1449637200593 1.17892047609226 1.19361526539321 1.00749591806442 1.61605302350354 1.15338833476994 1.0901484929078 0.989856688331113 0.91567028826005 0.984516109578301 1.20617347261347 1.10611329353541 1.09725729671703 1.21740791008232 1.34605209921882 0.972313944627889 1.14905359375674 1.04120618139749 1.35780380448503 1.01090577985638 1.19052903523646
"nicht" 1.11681193463971 1.30061542961938 1.40828587032847 1.39181807899832 1.48749018739558 1.81275048241057 0.963615382339307 0.893978574067233 0.815879875886525 1.25363717945232 1.8753631865326 1.31469838828833 1.03336119872709 1.11442101140531 1.21516626043802 1.0850957898829 0.889328063241107 1.12979425958852 0.963652826283793 1.15971745407688 0.997771752851168 0.975725844835792 1.00853168085654
"sich" 1.19923347963158 1.26236203463057 0.684637590699852 1.12835729540208 0.933958656226726 1.30065310969274 0.940930475692629 0.941591757993679 1.02227393617021 0.520762515976396 0.417334342918523 0.643026218583684 1.24270289636181 0.802288182864738 1.47386204651245 1.28083588522947 1.54368055771685 0.969265938531877 1.46164791100763 0.719532726982007 1.34353424146296 0.968482917037436 1.05913582329389
