Source,Target,Weight,Type
cb_jauche_1975,cw_medea_1996,3,undirected
cb_jauche_1975,cw_nachdenken_1968,1,undirected
cb_jauche_1975,gg_schnecke_1972,2,undirected
cb_quints_1985,cw_kindheitsmuster_1976,2,undirected
cb_quints_1985,cw_medea_1996,4,undirected
cb_quints_1985,gg_schnecke_1972,3,undirected
cb_quints_1985,hb_gruppenbild_1971,1,undirected
cb_quints_1985,wk_gold_1972,2,undirected
cb_quints_1985,wk_heilewelt_1998,3,undirected
cb_tessin_1960,cw_medea_1996,3,undirected
cb_tessin_1960,gg_schnecke_1972,2,undirected
cb_tessin_1960,hb_clown_1963,1,undirected
cw_kindheitsmuster_1976,cb_quints_1985,2,undirected
cw_kindheitsmuster_1976,cw_medea_1996,5,undirected
cw_kindheitsmuster_1976,cw_nachdenken_1968,1,undirected
cw_kindheitsmuster_1976,gg_blechtrommel_1959,1,undirected
cw_kindheitsmuster_1976,gg_raettin_1986,1,undirected
cw_kindheitsmuster_1976,gg_schnecke_1972,4,undirected
cw_kindheitsmuster_1976,hb_clown_1963,1,undirected
cw_kindheitsmuster_1976,hb_frauen_1975,1,undirected
cw_kindheitsmuster_1976,wk_gruesse_2003,1,undirected
cw_kindheitsmuster_1976,wk_hundstage_1988,1,undirected
cw_kindheitsmuster_1976,wk_kapitel_1975,1,undirected
cw_kindheitsmuster_1976,wk_markbein_1991,1,undirected
cw_kindheitsmuster_1976,wk_zeit_1978,3,undirected
cw_medea_1996,cb_jauche_1975,3,undirected
cw_medea_1996,cb_quints_1985,4,undirected
cw_medea_1996,cb_tessin_1960,3,undirected
cw_medea_1996,cw_kindheitsmuster_1976,5,undirected
cw_medea_1996,cw_nachdenken_1968,3,undirected
cw_medea_1996,gg_blechtrommel_1959,3,undirected
cw_medea_1996,gg_raettin_1986,3,undirected
cw_medea_1996,gg_schnecke_1972,3,undirected
cw_medea_1996,hb_clown_1963,3,undirected
cw_medea_1996,hb_frauen_1975,3,undirected
cw_medea_1996,hb_gruppenbild_1971,3,undirected
cw_medea_1996,wk_aussicht_1981,3,undirected
cw_medea_1996,wk_gold_1972,1,undirected
cw_medea_1996,wk_gruesse_2003,3,undirected
cw_medea_1996,wk_heilewelt_1998,1,undirected
cw_medea_1996,wk_hundstage_1988,3,undirected
cw_medea_1996,wk_kapitel_1975,3,undirected
cw_medea_1996,wk_markbein_1991,3,undirected
cw_medea_1996,wk_tadel_1971,2,undirected
cw_medea_1996,wk_umsonst_2006,1,undirected
