Source,Target,Weight,Type
cb_jauche_1975,cb_quints_1985,114,undirected
cb_jauche_1975,cw_kindheitsmuster_1976,73,undirected
cb_jauche_1975,gg_blechtrommel_1959,22,undirected
cb_jauche_1975,gg_raettin_1986,11,undirected
cb_jauche_1975,gg_schnecke_1972,5,undirected
cb_jauche_1975,hb_gruppenbild_1971,1,undirected
cb_jauche_1975,wk_heilewelt_1998,14,undirected
cb_jauche_1975,wk_zeit_1978,3,undirected
cb_quints_1985,cb_jauche_1975,114,undirected
cb_quints_1985,cb_tessin_1960,11,undirected
cb_quints_1985,cw_kindheitsmuster_1976,94,undirected
cb_quints_1985,cw_medea_1996,15,undirected
cb_quints_1985,cw_nachdenken_1968,4,undirected
cb_quints_1985,gg_blechtrommel_1959,1,undirected
cb_quints_1985,gg_schnecke_1972,5,undirected
cb_quints_1985,hb_gruppenbild_1971,33,undirected
cb_quints_1985,wk_gruesse_2003,2,undirected
cb_tessin_1960,cb_quints_1985,11,undirected
cb_tessin_1960,cw_medea_1996,3,undirected
cb_tessin_1960,cw_nachdenken_1968,2,undirected
cb_tessin_1960,hb_clown_1963,90,undirected
cb_tessin_1960,hb_frauen_1975,5,undirected
cb_tessin_1960,wk_gruesse_2003,26,undirected
cb_tessin_1960,wk_kapitel_1975,15,undirected
cw_kindheitsmuster_1976,cb_jauche_1975,73,undirected
cw_kindheitsmuster_1976,cb_quints_1985,94,undirected
cw_kindheitsmuster_1976,cw_medea_1996,67,undirected
cw_kindheitsmuster_1976,cw_nachdenken_1968,52,undirected
cw_kindheitsmuster_1976,gg_blechtrommel_1959,14,undirected
cw_kindheitsmuster_1976,gg_raettin_1986,31,undirected
cw_kindheitsmuster_1976,gg_schnecke_1972,9,undirected
cw_kindheitsmuster_1976,hb_frauen_1975,1,undirected
cw_kindheitsmuster_1976,hb_gruppenbild_1971,56,undirected
cw_medea_1996,cb_quints_1985,15,undirected
cw_medea_1996,cb_tessin_1960,3,undirected
cw_medea_1996,cw_kindheitsmuster_1976,67,undirected
cw_medea_1996,cw_nachdenken_1968,90,undirected
cw_medea_1996,hb_clown_1963,9,undirected
cw_medea_1996,hb_frauen_1975,14,undirected
cw_nachdenken_1968,cb_quints_1985,4,undirected
cw_nachdenken_1968,cb_tessin_1960,2,undirected
cw_nachdenken_1968,cw_kindheitsmuster_1976,52,undirected
cw_nachdenken_1968,cw_medea_1996,90,undirected
cw_nachdenken_1968,hb_frauen_1975,17,undirected
gg_blechtrommel_1959,cb_jauche_1975,22,undirected
gg_blechtrommel_1959,cb_quints_1985,1,undirected
gg_blechtrommel_1959,cw_kindheitsmuster_1976,14,undirected
gg_blechtrommel_1959,gg_raettin_1986,17,undirected
gg_blechtrommel_1959,gg_schnecke_1972,94,undirected
gg_blechtrommel_1959,wk_heilewelt_1998,2,undirected
gg_blechtrommel_1959,wk_hundstage_1988,17,undirected
gg_blechtrommel_1959,wk_willkommen_1984,2,undirected
gg_raettin_1986,cb_jauche_1975,11,undirected
gg_raettin_1986,cw_kindheitsmuster_1976,31,undirected
gg_raettin_1986,gg_blechtrommel_1959,17,undirected
gg_raettin_1986,gg_schnecke_1972,114,undirected
gg_schnecke_1972,cb_jauche_1975,5,undirected
gg_schnecke_1972,cb_quints_1985,5,undirected
gg_schnecke_1972,cw_kindheitsmuster_1976,9,undirected
gg_schnecke_1972,gg_blechtrommel_1959,94,undirected
gg_schnecke_1972,gg_raettin_1986,114,undirected
hb_clown_1963,cb_tessin_1960,90,undirected
hb_clown_1963,cw_medea_1996,9,undirected
hb_clown_1963,hb_frauen_1975,80,undirected
hb_clown_1963,hb_gruppenbild_1971,72,undirected
hb_frauen_1975,cb_tessin_1960,5,undirected
hb_frauen_1975,cw_kindheitsmuster_1976,1,undirected
hb_frauen_1975,cw_medea_1996,14,undirected
hb_frauen_1975,cw_nachdenken_1968,17,undirected
hb_frauen_1975,hb_clown_1963,80,undirected
hb_frauen_1975,hb_gruppenbild_1971,61,undirected
hb_gruppenbild_1971,cb_jauche_1975,1,undirected
hb_gruppenbild_1971,cb_quints_1985,33,undirected
hb_gruppenbild_1971,cw_kindheitsmuster_1976,56,undirected
hb_gruppenbild_1971,hb_clown_1963,72,undirected
hb_gruppenbild_1971,hb_frauen_1975,61,undirected
wk_aussicht_1981,wk_heilewelt_1998,24,undirected
wk_aussicht_1981,wk_umsonst_2006,1,undirected
wk_aussicht_1981,wk_willkommen_1984,32,undirected
wk_aussicht_1981,wk_zeit_1978,114,undirected
wk_gold_1972,wk_kapitel_1975,95,undirected
wk_gold_1972,wk_tadel_1971,114,undirected
wk_gold_1972,wk_willkommen_1984,19,undirected
wk_gruesse_2003,cb_quints_1985,2,undirected
wk_gruesse_2003,cb_tessin_1960,26,undirected
wk_gruesse_2003,wk_heilewelt_1998,106,undirected
wk_gruesse_2003,wk_hundstage_1988,86,undirected
wk_gruesse_2003,wk_markbein_1991,75,undirected
wk_gruesse_2003,wk_umsonst_2006,51,undirected
wk_heilewelt_1998,cb_jauche_1975,14,undirected
wk_heilewelt_1998,gg_blechtrommel_1959,2,undirected
wk_heilewelt_1998,wk_aussicht_1981,24,undirected
wk_heilewelt_1998,wk_gruesse_2003,106,undirected
wk_heilewelt_1998,wk_hundstage_1988,56,undirected
wk_heilewelt_1998,wk_markbein_1991,32,undirected
wk_heilewelt_1998,wk_umsonst_2006,60,undirected
wk_heilewelt_1998,wk_willkommen_1984,59,undirected
wk_hundstage_1988,gg_blechtrommel_1959,17,undirected
wk_hundstage_1988,wk_gruesse_2003,86,undirected
wk_hundstage_1988,wk_heilewelt_1998,56,undirected
wk_hundstage_1988,wk_markbein_1991,78,undirected
wk_hundstage_1988,wk_umsonst_2006,16,undirected
wk_hundstage_1988,wk_willkommen_1984,30,undirected
wk_kapitel_1975,cb_tessin_1960,15,undirected
wk_kapitel_1975,wk_gold_1972,95,undirected
wk_kapitel_1975,wk_tadel_1971,58,undirected
wk_kapitel_1975,wk_willkommen_1984,67,undirected
wk_kapitel_1975,wk_zeit_1978,35,undirected
wk_markbein_1991,wk_gruesse_2003,75,undirected
wk_markbein_1991,wk_heilewelt_1998,32,undirected
wk_markbein_1991,wk_hundstage_1988,78,undirected
wk_markbein_1991,wk_umsonst_2006,3,undirected
wk_markbein_1991,wk_willkommen_1984,2,undirected
wk_tadel_1971,wk_gold_1972,114,undirected
wk_tadel_1971,wk_kapitel_1975,58,undirected
wk_tadel_1971,wk_willkommen_1984,19,undirected
wk_umsonst_2006,wk_aussicht_1981,1,undirected
wk_umsonst_2006,wk_gruesse_2003,51,undirected
wk_umsonst_2006,wk_heilewelt_1998,60,undirected
wk_umsonst_2006,wk_hundstage_1988,16,undirected
wk_umsonst_2006,wk_markbein_1991,3,undirected
wk_willkommen_1984,gg_blechtrommel_1959,2,undirected
wk_willkommen_1984,wk_aussicht_1981,32,undirected
wk_willkommen_1984,wk_gold_1972,19,undirected
wk_willkommen_1984,wk_heilewelt_1998,59,undirected
wk_willkommen_1984,wk_hundstage_1988,30,undirected
wk_willkommen_1984,wk_kapitel_1975,67,undirected
wk_willkommen_1984,wk_markbein_1991,2,undirected
wk_willkommen_1984,wk_tadel_1971,19,undirected
wk_willkommen_1984,wk_zeit_1978,22,undirected
wk_zeit_1978,cb_jauche_1975,3,undirected
wk_zeit_1978,wk_aussicht_1981,114,undirected
wk_zeit_1978,wk_kapitel_1975,35,undirected
wk_zeit_1978,wk_willkommen_1984,22,undirected
