Source,Target,Weight,Type
cb_jauche_1975,cb_quints_1985,42,undirected
cb_jauche_1975,cb_tessin_1960,8,undirected
cb_jauche_1975,cw_kindheitsmuster_1976,45,undirected
cb_jauche_1975,cw_medea_1996,7,undirected
cb_jauche_1975,gg_blechtrommel_1959,3,undirected
cb_jauche_1975,gg_raettin_1986,6,undirected
cb_jauche_1975,gg_schnecke_1972,57,undirected
cb_jauche_1975,wk_gold_1972,6,undirected
cb_jauche_1975,wk_gruesse_2003,8,undirected
cb_jauche_1975,wk_heilewelt_1998,11,undirected
cb_jauche_1975,wk_hundstage_1988,3,undirected
cb_jauche_1975,wk_kapitel_1975,14,undirected
cb_jauche_1975,wk_markbein_1991,4,undirected
cb_jauche_1975,wk_tadel_1971,1,undirected
cb_jauche_1975,wk_willkommen_1984,5,undirected
cb_jauche_1975,wk_zeit_1978,2,undirected
cb_quints_1985,cb_jauche_1975,42,undirected
cb_quints_1985,cw_kindheitsmuster_1976,18,undirected
cb_quints_1985,cw_nachdenken_1968,1,undirected
cb_quints_1985,gg_schnecke_1972,57,undirected
cb_quints_1985,wk_markbein_1991,2,undirected
cb_tessin_1960,cb_jauche_1975,8,undirected
cb_tessin_1960,cw_kindheitsmuster_1976,6,undirected
cb_tessin_1960,cw_medea_1996,36,undirected
cb_tessin_1960,gg_schnecke_1972,57,undirected
cb_tessin_1960,hb_clown_1963,3,undirected
cb_tessin_1960,hb_frauen_1975,4,undirected
cb_tessin_1960,wk_kapitel_1975,3,undirected
cw_kindheitsmuster_1976,cb_jauche_1975,45,undirected
cw_kindheitsmuster_1976,cb_quints_1985,18,undirected
cw_kindheitsmuster_1976,cb_tessin_1960,6,undirected
cw_kindheitsmuster_1976,cw_medea_1996,73,undirected
cw_kindheitsmuster_1976,cw_nachdenken_1968,35,undirected
cw_kindheitsmuster_1976,gg_blechtrommel_1959,20,undirected
cw_kindheitsmuster_1976,gg_raettin_1986,28,undirected
cw_kindheitsmuster_1976,gg_schnecke_1972,89,undirected
cw_kindheitsmuster_1976,hb_clown_1963,11,undirected
cw_kindheitsmuster_1976,hb_frauen_1975,6,undirected
cw_kindheitsmuster_1976,hb_gruppenbild_1971,27,undirected
cw_kindheitsmuster_1976,wk_aussicht_1981,29,undirected
cw_kindheitsmuster_1976,wk_gold_1972,27,undirected
cw_kindheitsmuster_1976,wk_gruesse_2003,6,undirected
cw_kindheitsmuster_1976,wk_heilewelt_1998,45,undirected
cw_kindheitsmuster_1976,wk_hundstage_1988,35,undirected
cw_kindheitsmuster_1976,wk_kapitel_1975,34,undirected
cw_kindheitsmuster_1976,wk_markbein_1991,27,undirected
cw_kindheitsmuster_1976,wk_tadel_1971,31,undirected
cw_kindheitsmuster_1976,wk_willkommen_1984,23,undirected
cw_kindheitsmuster_1976,wk_zeit_1978,36,undirected
cw_medea_1996,cb_jauche_1975,7,undirected
cw_medea_1996,cb_tessin_1960,36,undirected
cw_medea_1996,cw_kindheitsmuster_1976,73,undirected
cw_medea_1996,cw_nachdenken_1968,32,undirected
cw_medea_1996,gg_blechtrommel_1959,18,undirected
cw_medea_1996,gg_raettin_1986,44,undirected
cw_medea_1996,gg_schnecke_1972,90,undirected
cw_medea_1996,hb_clown_1963,45,undirected
cw_medea_1996,hb_frauen_1975,48,undirected
cw_medea_1996,hb_gruppenbild_1971,12,undirected
cw_medea_1996,wk_gold_1972,4,undirected
cw_medea_1996,wk_gruesse_2003,1,undirected
cw_medea_1996,wk_kapitel_1975,3,undirected
cw_medea_1996,wk_markbein_1991,22,undirected
cw_medea_1996,wk_tadel_1971,4,undirected
cw_medea_1996,wk_willkommen_1984,7,undirected
cw_medea_1996,wk_zeit_1978,4,undirected
cw_nachdenken_1968,cb_quints_1985,1,undirected
cw_nachdenken_1968,cw_kindheitsmuster_1976,35,undirected
cw_nachdenken_1968,cw_medea_1996,32,undirected
cw_nachdenken_1968,gg_blechtrommel_1959,2,undirected
cw_nachdenken_1968,gg_raettin_1986,1,undirected
cw_nachdenken_1968,gg_schnecke_1972,57,undirected
cw_nachdenken_1968,hb_frauen_1975,5,undirected
gg_blechtrommel_1959,cb_jauche_1975,3,undirected
gg_blechtrommel_1959,cw_kindheitsmuster_1976,20,undirected
gg_blechtrommel_1959,cw_medea_1996,18,undirected
gg_blechtrommel_1959,cw_nachdenken_1968,2,undirected
gg_blechtrommel_1959,gg_raettin_1986,19,undirected
gg_blechtrommel_1959,gg_schnecke_1972,57,undirected
gg_blechtrommel_1959,wk_hundstage_1988,8,undirected
gg_blechtrommel_1959,wk_zeit_1978,1,undirected
gg_raettin_1986,cb_jauche_1975,6,undirected
gg_raettin_1986,cw_kindheitsmuster_1976,28,undirected
gg_raettin_1986,cw_medea_1996,44,undirected
gg_raettin_1986,cw_nachdenken_1968,1,undirected
gg_raettin_1986,gg_blechtrommel_1959,19,undirected
gg_raettin_1986,gg_schnecke_1972,106,undirected
gg_raettin_1986,hb_clown_1963,5,undirected
gg_raettin_1986,hb_frauen_1975,8,undirected
gg_raettin_1986,hb_gruppenbild_1971,12,undirected
gg_raettin_1986,wk_gold_1972,3,undirected
gg_raettin_1986,wk_willkommen_1984,3,undirected
gg_schnecke_1972,cb_jauche_1975,57,undirected
gg_schnecke_1972,cb_quints_1985,57,undirected
gg_schnecke_1972,cb_tessin_1960,57,undirected
gg_schnecke_1972,cw_kindheitsmuster_1976,89,undirected
gg_schnecke_1972,cw_medea_1996,90,undirected
gg_schnecke_1972,cw_nachdenken_1968,57,undirected
gg_schnecke_1972,gg_blechtrommel_1959,57,undirected
gg_schnecke_1972,gg_raettin_1986,106,undirected
gg_schnecke_1972,hb_clown_1963,48,undirected
gg_schnecke_1972,hb_frauen_1975,51,undirected
gg_schnecke_1972,hb_gruppenbild_1971,57,undirected
gg_schnecke_1972,wk_aussicht_1981,49,undirected
gg_schnecke_1972,wk_gold_1972,56,undirected
gg_schnecke_1972,wk_gruesse_2003,28,undirected
gg_schnecke_1972,wk_heilewelt_1998,33,undirected
gg_schnecke_1972,wk_hundstage_1988,35,undirected
gg_schnecke_1972,wk_kapitel_1975,57,undirected
gg_schnecke_1972,wk_markbein_1991,56,undirected
gg_schnecke_1972,wk_tadel_1971,49,undirected
gg_schnecke_1972,wk_umsonst_2006,16,undirected
gg_schnecke_1972,wk_willkommen_1984,43,undirected
gg_schnecke_1972,wk_zeit_1978,39,undirected
hb_clown_1963,cb_tessin_1960,3,undirected
hb_clown_1963,cw_kindheitsmuster_1976,11,undirected
hb_clown_1963,cw_medea_1996,45,undirected
hb_clown_1963,gg_raettin_1986,5,undirected
hb_clown_1963,gg_schnecke_1972,48,undirected
hb_clown_1963,hb_frauen_1975,5,undirected
hb_frauen_1975,cb_tessin_1960,4,undirected
hb_frauen_1975,cw_kindheitsmuster_1976,6,undirected
hb_frauen_1975,cw_medea_1996,48,undirected
hb_frauen_1975,cw_nachdenken_1968,5,undirected
hb_frauen_1975,gg_raettin_1986,8,undirected
hb_frauen_1975,gg_schnecke_1972,51,undirected
hb_frauen_1975,hb_clown_1963,5,undirected
hb_frauen_1975,hb_gruppenbild_1971,7,undirected
hb_frauen_1975,wk_aussicht_1981,1,undirected
hb_frauen_1975,wk_gold_1972,6,undirected
hb_frauen_1975,wk_markbein_1991,2,undirected
hb_frauen_1975,wk_tadel_1971,1,undirected
hb_frauen_1975,wk_zeit_1978,1,undirected
hb_gruppenbild_1971,cw_kindheitsmuster_1976,27,undirected
hb_gruppenbild_1971,cw_medea_1996,12,undirected
hb_gruppenbild_1971,gg_raettin_1986,12,undirected
hb_gruppenbild_1971,gg_schnecke_1972,57,undirected
